about_preference_title|Sobre
action_autofill_password|Preencher senha automaticamente
action_autofill_username|Preencher automaticamente o nome de usuário
action_create_named_session_confirm|Criar
action_file_received_edit|Editar
action_file_received_open_directory|Abrir diretório
action_font_terminal|Fonte
action_kill_process|Finalizar processo (%d)
action_new_session|Nova sessão
action_new_session_failsafe|Modo seguro
action_open_help|Ajuda
action_open_settings|Configurações
action_rename_session_confirm|Definir
action_report_issue|Relatar problema
action_reset_terminal|Redefinir
action_select_url|Selecionar URL
action_share_selected_text|Compartilhar texto selecionado
action_share_transcript|Compartilhar transcrição
action_style_terminal|Estilo
action_styling_install|Instalar
action_toggle_keep_screen_on|Manter tela ligada
action_toggle_soft_keyboard|Teclado
action_toggle_text_input|Alternar entrada de texto
appearance_preferences_summary|Preferências de aparência do aplicativo e transparência do painel
appearance_preferences_title|Aparência
backup_dialog_background|Segundo plano
backup_dialog_cancel|Cancelar
backup_preference_summary|Salvar o diretório de dados do Termux (pacotes instalados + home) em um arquivo de backup tar.gz
backup_preference_title|Fazer Backup dos Dados do Termux
backup_restore_backup_started|Criando backup…
backup_restore_backup_success|Backup criado com sucesso
backup_restore_cancelled|Operação cancelada
backup_restore_choose_backup|Selecione um arquivo de backup .tar.gz para restaurar
backup_restore_dialog_title|Backup / Restauração de Dados do Termux
backup_restore_failed_title|Operação Falhou
backup_restore_need_termux|O binário do Termux (tar) não foi encontrado. Abra o Termux pelo menos uma vez para que o contêiner seja configurado.
backup_restore_restore_started|Restaurando backup…
backup_restore_restore_success|Dados restaurados com sucesso
backup_restore_warning_backup|Isso criará um arquivo compactado do seu diretório de dados do Termux (pacotes instalados e ambiente junto com seu diretório home).\n\nEscolha um arquivo de destino para salvar o backup.
backup_restore_warning_restore|A restauração IRÁ SUBSTITUIR o diretório de dados atual do Termux (pacotes instalados mais seu diretório home) com o conteúdo do arquivo de backup selecionado. Os dados EXISTENTES SERÃO PERDIDOS.\n\n⚠ Se a restauração falhar — porque o arquivo de backup está corrompido, incompleto ou a conexão cai durante o processo — seu ambiente Termux será DEIXADO VAZIO. Não haverá maneira de recuperar os dados originais.\n\nIsso não pode ser desfeito. É fortemente recomendado fazer backup PRIMEIRO e verificar se o arquivo de backup é válido.
backup_service_channel_name|Backup/Restauração do Termux
backup_service_notification_cancel|Cancelar
backup_service_notification_failed|Backup falhou
backup_service_notification_restore_failed|Restauração falhou
backup_service_notification_restore_success|Dados restaurados com sucesso
backup_service_notification_restore_title|Restauração de Dados do Termux
backup_service_notification_success|Backup criado com sucesso
backup_service_notification_title|Backup de Dados do Termux
bootstrap_error_abort|Cancelar
bootstrap_error_body|Termux não pôde instalar os pacotes de bootstrap.
bootstrap_error_installed_on_portable_sd|O Termux não pode ser instalado em um cartão SD portátil/externo/removível do seu dispositivo.\nOs binários de bootstrap compilados para o Termux têm o caminho $PREFIX codificado e não podem ser instalados em um caminho diferente de:\n%1$s.
bootstrap_error_not_primary_user_message|O Termux só pode ser executado como usuário primário.\nOs binários de bootstrap compilados para o Termux têm o caminho $PREFIX codificado e não podem ser instalados em um caminho diferente de:\n%1$s.
bootstrap_error_title|Não é possível instalar o bootstrap
bootstrap_error_try_again|Tentar novamente
bootstrap_installer_body|Instalando pacotes de bootstrap…
color_scheme_dark_summary|Esquema de cores aplicado quando o tema do aplicativo é escuro
color_scheme_dark_title|Esquema de Cores do Terminal (Tema Escuro)
color_scheme_light_summary|Esquema de cores aplicado quando o tema do aplicativo é claro
color_scheme_light_title|Esquema de Cores do Terminal (Tema Claro)
directory_history_clear_confirm|Limpar todo o histórico de diretórios? Esta ação não pode ser desfeita.
directory_history_clear_dialog_title|Limpar Histórico de Diretórios
directory_history_cleared|Histórico de diretórios limpo
directory_history_max_title|Máx. de diretórios salvos
directory_history_title|Histórico de Diretórios
donate_preference_title|Doar
error_display_over_other_apps_permission_not_granted_to_start_terminal|Termux requer permissão \"Sobrepor a outros aplicativos\" para iniciar sessões do terminal em segundo plano no Android &gt;= 10. Conceda-a em Configurações -&gt; Aplicativos -&gt; Termux -&gt; Avançado
error_font_copy_failed|Falha ao aplicar fonte
font_picker_title|Selecione uma fonte (.ttf)
